CRN,latitude,longitude,year,month,hour,day,weather,road_cond,light_cond,severity
2024054516,40.206543,-77.259774,2024,6,,1,3.0,1,,0
2024054522,40.670978,-79.320575,2024,6,,5,3.0,1,,0
2024054545,40.154704,-75.466697,2024,6,,7,3.0,1,,0
2024054606,40.544298,-76.005184,2024,6,,5,3.0,1,,8
2024054641,39.837546,-77.195234,2024,6,,4,7.0,9,,0
2024054643,39.774131,-77.323583,2024,6,,7,3.0,1,,2
2024054709,40.241009,-75.597391,2024,6,,7,3.0,1,,0
2024054714,40.659912,-79.727923,2024,5,,3,3.0,1,,4
2024054721,40.663644,-75.540309,2024,6,,7,3.0,1,,0
2024054727,40.947434,-79.641804,2024,6,,4,3.0,1,,0
2024054729,40.241013,-76.80352,2024,6,,7,3.0,1,,0
2024054734,40.678823,-79.714021,2024,6,,3,3.0,1,,0
2024054836,39.977323,-79.880388,2024,6,,1,3.0,1,,3
2024054837,41.018565,-75.930019,2024,6,,1,3.0,1,,0
2024054862,39.947591,-79.776354,2024,6,,4,3.0,1,,0
2024054872,39.928114,-79.74623,2024,6,,7,3.0,1,,0
2024054878,41.721103,-79.758619,2024,6,,7,3.0,1,,0
2024054931,40.319565,-78.974453,2024,6,,7,3.0,1,,0
2024054947,40.769268,-75.858081,2024,4,,6,4.0,1,,0
2024054967,40.472954,-75.826485,2024,6,,6,4.0,1,,0
2024054997,40.679193,-75.336673,2024,6,,3,3.0,1,,0
2024055164,40.649728,-75.411683,2024,6,,4,3.0,1,,0
2024055167,39.938933,-80.169776,2024,6,,7,3.0,1,,0
2024055169,40.06455,-75.320989,2024,6,,1,3.0,1,,0
2024055177,40.627285,-75.480764,2024,6,,4,3.0,1,,0
2024055182,41.613366,-80.168762,2024,6,,5,3.0,1,,0
2024055207,40.708679,-75.394928,2024,6,,3,3.0,1,,4
2024055236,41.197106,-79.635482,2024,6,,1,3.0,1,,3
2024055266,40.642988,-80.067793,2024,6,,6,3.0,1,,0
2024055288,40.264968,-75.030945,2024,6,,5,3.0,1,,0
2024055368,40.422299,-80.333174,2024,4,,7,3.0,1,,0
2024055432,41.7689,-75.080217,2024,6,,7,3.0,1,,0
2024055444,41.293691,-75.530741,2024,6,,2,3.0,1,,0
2024055474,40.697634,-80.208748,2024,6,,2,3.0,1,,0
2024055575,40.568681,-79.578462,2024,6,,7,3.0,1,,2
2024055590,40.472709,-80.248496,2024,5,,4,3.0,1,,0
2024055634,40.827816,-79.596174,2024,6,,5,3.0,1,,0
2024055648,40.503163,-77.275431,2024,6,,6,3.0,1,,0
2024055651,40.159228,-77.293254,2024,6,,7,3.0,1,,0
2024055656,40.784715,-80.123318,2024,6,,7,3.0,1,,0
2024055658,40.208855,-76.612984,2024,6,,7,3.0,1,,0
2024055659,40.172812,-79.310033,2024,6,,1,3.0,1,,0
2024055661,40.173887,-79.560337,2024,6,,1,3.0,1,,0
2024055663,40.717961,-75.752757,2024,6,,2,3.0,1,,2
2024055665,40.334208,-80.174693,2024,6,,2,3.0,1,,0
2024055757,39.960122,-76.65141,2024,6,,2,3.0,1,,3
2024055800,40.77769,-75.282414,2024,6,,6,3.0,1,,0
2024055805,40.669074,-75.590182,2024,6,,3,3.0,1,,3
2024055819,41.801438,-75.688388,2024,6,,7,3.0,1,,0
2024055829,41.745052,-80.198239,2024,6,,1,3.0,1,,0
2024055873,40.700992,-75.214869,2024,6,,2,3.0,1,,3
2024055969,39.878726,-77.676229,2024,6,,2,3.0,1,,0
2024055970,41.368354,-79.308117,2024,6,,3,3.0,1,,0
2024055971,40.570056,-76.419991,2024,6,,3,3.0,1,,0
2024055986,40.427851,-76.966988,2024,6,,1,3.0,1,,3
2024055995,40.193631,-78.686728,2024,6,,3,3.0,1,,0
2024056037,40.844271,-76.520067,2024,6,,4,3.0,1,,0
2024056044,40.012588,-75.557401,2024,6,,1,3.0,1,,2
2024056089,40.279201,-75.908932,2024,6,,5,7.0,9,,0
2024056140,40.665541,-78.910816,2024,6,,7,3.0,1,,3
2024056173,40.005173,-78.050965,2024,6,,3,3.0,1,,3
2024056177,40.448548,-78.985224,2024,6,,3,3.0,1,,0
