latitude,longitude,month,hour,day,severity,weather_3.0,weather_4.0,weather_5.0,weather_6.0,weather_7.0,weather_10.0,weather_98.0,weather_99.0,road_cond_2,road_cond_3,road_cond_6,road_cond_7,road_cond_8,road_cond_9,road_cond_98,road_cond_99,season_spring,season_summer,season_winter
40.012112,-76.860788,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.271904,-79.55568,1,,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.033049,-80.150782,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.148453,-80.432697,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.969026,-80.346388,1,,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39.870054,-79.889504,1,,4,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.578278,-75.632941,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.931427,-76.672042,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.593419,-77.234389,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.586925,-75.375197,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.234703,-75.48013,1,,5,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39.930433,-75.40021,1,,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.126917,-75.451639,1,,5,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.763694,-75.227167,1,,5,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.672216,-75.36441,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.562834,-80.128614,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.586553,-75.616135,1,,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.905862,-76.479076,1,,6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.585657,-79.69984,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.225567,-75.911907,1,,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.75866,-76.356517,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.804873,-77.71784,1,,5,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.977947,-80.398797,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.875246,-76.588951,1,,2,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
